Date,Open,High,Low,Close,Adj Close,Volume
2018-11-25,3026.892090,3212.630371,2796.311035,3129.107910,3129.107910,5326265312
2018-11-26,3133.537354,3204.234619,2840.949463,2949.505127,2949.505127,5055039097
2018-11-27,2938.943604,3032.280762,2868.738037,2999.700684,2999.700684,4709679054
2018-11-28,2999.897461,3418.725830,2999.897461,3319.412354,3319.412354,5676266870
2018-11-29,3328.888428,3459.084229,3229.430908,3347.829346,3347.829346,5088310340
2018-11-30,3355.783203,3382.456787,3089.082764,3149.558594,3149.558594,4741675346
2018-12-01,3155.200195,3378.573242,3112.272949,3304.977051,3304.977051,4215106299
2018-12-02,3294.046875,3373.079346,3221.880615,3247.204346,3247.204346,4127912873
2018-12-03,3252.546875,3259.334961,3013.786377,3059.860107,3059.860107,3999191483
2018-12-04,3053.749512,3196.885742,3008.080078,3111.083984,3111.083984,3953289271
2018-12-05,3112.653320,3122.806152,2948.533936,2948.533936,2948.533936,4164775825
2018-12-06,2949.005615,3044.297363,2755.501465,2755.501465,2755.501465,4600195384
2018-12-07,2749.048096,2749.048096,2578.112305,2686.514648,2686.514648,5369683537
2018-12-08,2688.064697,2754.154785,2632.086914,2730.644531,2730.644531,4167335469
2018-12-09,2728.376709,2894.752197,2725.129639,2840.596680,2840.596680,3888372847
2018-12-10,2838.765137,2865.428467,2763.682129,2788.614990,2788.614990,3997409116
2018-12-11,2784.546631,2794.485596,2708.480957,2741.249268,2741.249268,3759577359
2018-12-12,2738.685791,2791.824951,2729.836182,2760.151123,2760.151123,3276580460
2018-12-13,2760.967041,2763.842285,2604.208252,2618.994629,2618.994629,3432823511
2018-12-14,2617.578857,2634.670898,2548.421875,2575.651611,2575.651611,3473482952
2018-12-15,2576.853271,2601.780029,2534.996094,2571.105469,2571.105469,2821325626
2018-12-16,2570.718750,2625.908447,2568.768555,2584.647461,2584.647461,2975112854
2018-12-17,2584.937988,2851.688232,2586.167725,2810.931152,2810.931152,4288100148
2018-12-18,2810.020996,2924.939453,2758.901855,2920.866211,2920.866211,4671513625
2018-12-19,2929.251709,3128.171875,2910.279053,2966.875488,2966.875488,5394215617
2018-12-20,2963.885986,3312.638184,2954.895508,3263.459229,3263.459229,7046495589
2018-12-21,3263.211670,3314.996094,3049.390869,3084.172852,3084.172852,5703669522
2018-12-22,3085.391602,3178.028320,3052.260742,3178.028320,3178.028320,4438130253
2018-12-23,3183.421387,3227.782959,3144.438232,3161.701904,3161.701904,4863364487
2018-12-24,3162.234375,3372.020508,3162.234375,3205.689209,3205.689209,5691241941
2018-12-25,3210.375244,3218.607666,2965.080566,3007.148438,3007.148438,4853541813
2018-12-26,3010.676514,3061.999023,2972.537598,3049.741455,3049.741455,4211392499
2018-12-27,3047.616943,3061.405273,2882.915527,2890.308105,2890.308105,4057072191
2018-12-28,2888.926025,3117.435303,2875.584961,3089.948486,3089.948486,4434651945
2018-12-29,3096.699707,3121.321289,3008.438232,3008.438232,3008.438232,3930754327
2018-12-30,3009.994385,3070.431641,2990.177246,3046.339600,3046.339600,3759177752
2018-12-31,3047.018799,3036.576416,2924.433350,2937.645508,2937.645508,3659078849
2019-01-01,2940.795410,3020.868652,2909.805908,3013.727051,3013.727051,3390631942
2019-01-02,3018.132080,3148.977051,2992.593262,3149.656250,3149.656250,4189140583
2019-01-03,3140.121582,3138.063477,3026.936279,3038.503418,3038.503418,3587699412
2019-01-04,3034.443115,3037.491943,2996.244629,3030.777344,3030.777344,3808755590
2019-01-05,3026.264893,3067.848145,3015.803467,3022.322754,3022.322754,4038161321
2019-01-06,3015.504150,3216.738281,3005.902100,3200.156738,3200.156738,4393666540
2019-01-07,3203.165771,3214.027588,3155.746338,3148.416260,3148.416260,4089658429
2019-01-08,3151.175537,3228.075684,3131.426514,3164.719482,3164.719482,4166339069
2019-01-09,3165.183594,3192.557617,3157.255371,3152.894043,3152.894043,3997205113
2019-01-10,3152.142090,3177.644775,2869.828369,2884.762451,2884.762451,5390236123
2019-01-11,2880.876221,2891.632080,2862.008545,2870.650879,2870.650879,4311943352
2019-01-12,2870.345459,2879.691650,2844.528320,2851.055176,2851.055176,3720761666
2019-01-13,2849.160645,2859.661377,2758.548828,2765.160400,2765.160400,3643321951
2019-01-14,2768.658691,2892.260498,2764.743652,2878.657471,2878.657471,4389684646
2019-01-15,2877.205566,2885.291504,2809.442627,2820.708008,2820.708008,4301900071
2019-01-16,2821.338135,2869.370117,2820.768066,2836.592285,2836.592285,4186551879
2019-01-17,2834.085693,2834.720459,2813.198730,2833.343994,2833.343994,4208865976
2019-01-18,2832.884033,2837.278564,2825.146240,2840.604980,2840.604980,3885200018
2019-01-19,2836.363525,2918.802002,2836.363525,2895.531738,2895.531738,4625070812
2019-01-20,2893.106934,2907.040283,2781.211426,2800.738770,2800.738770,4341859410
2019-01-21,2800.240234,2805.469482,2759.481934,2774.085693,2774.085693,3882092205
2019-01-22,2773.444336,2791.914307,2742.565430,2782.221680,2782.221680,4101362851
2019-01-23,2782.923828,2779.563232,2728.392334,2740.607910,2740.607910,4153774734
2019-01-24,2740.131836,2768.114990,2729.645752,2744.273682,2744.273682,4010911443
2019-01-25,2749.246338,2756.880615,2727.086670,2728.136475,2728.136475,3990801545
2019-01-26,2728.098389,2769.946045,2723.270996,2728.377441,2728.377441,3861185546
2019-01-27,2730.063965,2736.110840,2702.563232,2713.549561,2713.549561,4217817618
2019-01-28,2713.703857,2717.236328,2611.543701,2637.278564,2637.278564,5250262089
2019-01-29,2636.015137,2644.402832,2587.833252,2636.981934,2636.981934,4509911694
2019-01-30,2633.269043,2675.696289,2621.070801,2657.756836,2657.756836,4539993258
2019-01-31,2657.167969,2673.794678,2630.394287,2637.929443,2637.929443,4448586174
2019-02-01,2639.861084,2676.368408,2618.355713,2665.662354,2665.662354,4144471736
2019-02-02,2663.125244,2692.672363,2650.093994,2690.970703,2690.970703,3875988337
2019-02-03,2687.209717,2691.220947,2637.210449,2649.038330,2649.038330,3857255433
2019-02-04,2651.584717,2656.735352,2635.035156,2654.291992,2654.291992,4091923187
2019-02-05,2651.740479,2672.567383,2647.777100,2675.459473,2675.459473,4034810931
2019-02-06,2677.531738,2677.975830,2625.986572,2639.579834,2639.579834,4238921691
2019-02-07,2640.683105,2657.436035,2619.651123,2625.337158,2625.337158,3865222571
2019-02-08,2626.849121,2857.674072,2617.883789,2833.467773,2833.467773,5977625395
2019-02-09,2837.181396,2843.637939,2817.842285,2836.225098,2836.225098,4758068521
2019-02-10,2837.768555,2856.329346,2811.455566,2852.582031,2852.582031,4856297667
2019-02-11,2856.775391,2856.941650,2832.468750,2836.366699,2836.366699,4879915490
2019-02-12,2831.951904,2844.570801,2816.764404,2834.407471,2834.407471,5027482320
2019-02-13,2834.162842,2840.758057,2799.926025,2825.413086,2825.413086,5008868356
2019-02-14,2824.770752,2841.917969,2812.467285,2826.104248,2826.104248,4899974622
2019-02-15,2826.611572,2847.235352,2813.921143,2808.336914,2808.336914,4724979070
2019-02-16,2804.039795,2833.180176,2804.039795,2815.989258,2815.989258,4604174435
2019-02-17,2818.760254,2854.006348,2806.422363,2846.800537,2846.800537,5454812646
2019-02-18,2845.003418,3044.778076,2844.287598,3029.995605,3029.995605,7667017669
2019-02-19,3026.851563,3096.607422,3027.966553,3022.369141,3022.369141,7606376602
2019-02-20,3021.937256,3067.060791,3005.891357,3066.226318,3066.226318,6664262228
2019-02-21,3066.504883,3077.533936,3023.075684,3032.029785,3032.029785,5961991554
2019-02-22,3030.661621,3082.346191,3029.434570,3068.661865,3068.661865,5995955783
2019-02-23,3063.597656,3191.946045,3040.469238,3173.743164,3173.743164,6835672219
2019-02-24,3175.988770,3225.928467,2906.284668,2916.546875,2916.546875,8262031222
2019-02-25,2914.108154,2991.273926,2914.583984,2957.931152,2957.931152,7099282495
2019-02-26,2954.884766,2961.865234,2921.532959,2907.083984,2907.083984,5981987097
2019-02-27,2909.766357,2917.819092,2846.076904,2891.393311,2891.393311,6232681420
2019-02-28,2889.517578,2944.742188,2899.330078,2906.087891,2906.087891,6332509345
2019-03-01,2905.328125,2957.986328,2905.204346,2921.492676,2921.492676,5799143349
2019-03-02,2918.263916,2932.864746,2900.710205,2925.536133,2925.536133,5737482105
2019-03-03,2923.909180,2933.741211,2898.763184,2906.191162,2906.191162,5479403110
2019-03-04,2904.693604,2922.936279,2822.207031,2854.404785,2854.404785,6851663638
2019-03-05,2852.893066,2970.084229,2842.968506,2962.121582,2962.121582,7734625253
2019-03-06,2962.658447,2985.056152,2946.588135,2961.737793,2961.737793,6960862444
2019-03-07,2961.318604,2989.397461,2960.581055,2987.920166,2987.920166,7321190693
2019-03-08,2989.258545,3036.116455,2977.725586,2997.629639,2997.629639,8174730165
2019-03-09,2992.574219,3063.115723,2990.912842,3044.736572,3044.736572,8293890606
2019-03-10,3046.934082,3046.934082,3014.827148,3042.565918,3042.565918,7478808100
2019-03-11,3044.213867,3057.440186,2969.970703,2948.231934,2948.231934,7644499012
2019-03-12,2947.122803,3001.285889,2924.057373,2992.439453,2992.439453,7509419510
2019-03-13,2995.437744,2948.493896,2959.220947,2941.285400,2941.285400,7129150414
2019-03-14,2939.337158,2982.231201,2945.284180,2959.865234,2959.865234,7904894475
2019-03-15,2961.807373,2986.899902,2953.515869,2976.228760,2976.228760,7058809848
2019-03-16,2978.474609,3063.485107,2976.789551,3042.212646,3042.212646,7405923864
2019-03-17,3041.456543,3046.267334,3010.417236,3027.169434,3027.169434,6183065160
2019-03-18,3030.733643,3063.471924,3017.734619,3040.748535,3040.748535,7274372627
2019-03-19,3040.335205,3076.913086,3031.210449,3068.195557,3068.195557,7042668096
2019-03-20,3068.157471,3099.464600,3040.433105,3095.286377,3095.286377,7705824620
2019-03-21,3092.847656,3119.733887,3061.954102,3068.642578,3068.642578,8248802445
2019-03-22,3067.987793,3080.681152,3058.572021,3045.238525,3045.238525,7002390618
2019-03-23,3044.288818,3064.849854,3039.181641,3054.898682,3054.898682,7250663029
2019-03-24,3054.396973,3058.587402,3031.414063,3045.726563,3045.726563,6924801296
2019-03-25,3047.198975,3062.794434,2981.149902,2998.942871,2998.942871,7839502865
2019-03-26,3003.908447,3016.259766,2978.801514,3016.259766,3016.259766,8104513603
2019-03-27,3016.013672,3107.539551,3012.885254,3107.367920,3107.367920,8285013130
2019-03-28,3107.483887,3138.984131,3094.920898,3117.359375,3117.359375,7166072386
2019-03-29,3116.533447,3138.687500,3083.906006,3142.223877,3142.223877,8371340882
2019-03-30,3137.440918,3293.931885,3107.727051,3148.309326,3148.309326,7461419311
2019-03-31,3147.386475,3158.760986,3144.228516,3152.909424,3152.909424,6946563585
2019-04-01,3152.585693,3175.593750,3147.649170,3182.057861,3182.057861,7773272305
2019-04-02,3181.024658,3736.448486,3180.496094,3717.661621,3717.661621,16238549453
2019-04-03,3717.522705,4034.384033,3714.980957,3774.434082,3774.434082,17380605513
2019-04-04,3773.103271,3843.064697,3697.559570,3765.306152,3765.306152,13960280350
2019-04-05,3765.375732,3876.875977,3757.945557,3863.386230,3863.386230,12915070438
2019-04-06,3863.472168,3993.125732,3829.283936,3881.132813,3881.132813,12985999403
2019-04-07,3883.416016,4016.298828,3873.918701,3988.021973,3988.021973,12776203167
2019-04-08,3988.398438,4076.595703,3945.110840,4049.848633,4049.848633,13133189398
2019-04-09,4049.961182,4049.961182,3950.171387,3986.566162,3986.566162,11275910006
2019-04-10,3985.949219,4141.323242,3978.941162,4065.332520,4065.332520,11837863710
2019-04-11,4065.630615,4090.146484,3834.890137,3879.118896,3879.118896,12680691312
2019-04-12,3877.127930,3899.202637,3793.333496,3891.970459,3891.970459,10457430267
2019-04-13,3891.443604,3920.710205,3870.597412,3897.359863,3897.359863,8276569556
2019-04-14,3896.726563,3963.309814,3863.958496,3949.995117,3949.995117,7943182419
2019-04-15,3949.528809,3968.939697,3836.183350,3867.921631,3867.921631,9381554674
